EmployeeNumber,Business_UNIT,Gender,JobLevel,JobRole,Department,Age,Hire_Year,Attrition_YEAR,Attrition,Year Last Promoted,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,PercentSalaryHike,PerformanceRating,BusinessTravel,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,MaritalStatus,NumCompaniesWorked,Over18,OverTime,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Year Last Promoted_ORIG,YearsWithCurrManager
1,BU1,Female,2,Sales Executive,Sales,41,2012,2018,Yes,,5993,94,1102,19479,11,3,Travel_Rarely,1,2,Life Sciences,1,2,3,4,Single,8,Y,Yes,1,80,0,8,0,1,6,4,0,,5
2,BU1,Male,2,Data Scientist,Research & Development,49,2008,,No,2018,5130,61,279,24907,23,4,Travel_Frequently,8,1,Life Sciences,1,3,2,2,Married,1,Y,No,4,80,1,10,3,3,10,7,1,1996,7
4,BU1,Male,1,Associate,Research & Development,37,2018,2017,Yes,,2090,92,1373,2396,15,3,Travel_Rarely,2,2,Other,1,4,2,3,Single,6,Y,Yes,2,80,0,7,3,3,0,0,0,,0
5,BU1,Female,1,Data Scientist,Research & Development,33,2010,,No,2016,2909,56,1392,23159,11,3,Travel_Frequently,3,4,Life Sciences,1,4,3,3,Married,1,Y,Yes,3,80,0,8,3,3,8,7,3,2008,0
7,BU1,Male,1,Associate,Research & Development,27,2016,,No,2017,3468,40,591,16632,12,3,Travel_Rarely,2,1,Medical,1,1,3,2,Married,9,Y,No,4,80,1,6,3,3,2,2,2,2007,2
8,BU1,Male,1,Associate,Research & Development,32,2011,,No,2016,3068,79,1005,11864,13,3,Travel_Frequently,2,2,Life Sciences,1,4,3,4,Single,0,Y,No,3,80,0,8,2,2,7,7,3,2006,6
10,BU1,Female,1,Associate,Research & Development,59,2017,,No,,2670,81,1324,9964,20,4,Travel_Rarely,3,3,Medical,1,3,4,1,Married,4,Y,Yes,1,80,3,12,3,2,1,0,0,,0
11,BU1,Male,1,Associate,Research & Development,30,2017,,No,,2693,67,1358,13335,22,4,Travel_Rarely,24,1,Life Sciences,1,4,3,3,Divorced,1,Y,No,2,80,1,1,2,3,1,0,0,,0
12,BU1,Male,3,Associate Director,Research & Development,38,2009,,No,2018,9526,44,216,8787,21,4,Travel_Frequently,23,3,Life Sciences,1,4,2,3,Single,0,Y,No,2,80,0,10,2,3,9,7,1,1998,8
13,BU1,Male,2,Senior Associate,Research & Development,36,2011,,No,2012,5237,94,1299,16577,13,3,Travel_Rarely,27,3,Medical,1,3,3,3,Married,6,Y,No,2,80,2,17,3,2,7,7,7,2006,7
14,BU1,Male,1,Associate,Research & Development,35,2013,,No,,2426,84,809,16479,13,3,Travel_Rarely,16,3,Medical,1,1,4,2,Married,0,Y,No,3,80,1,6,5,3,5,4,0,,3
15,BU1,Female,2,Associate,Research & Development,29,2009,,No,,4193,49,153,12682,12,3,Travel_Rarely,15,2,Life Sciences,1,4,2,3,Single,0,Y,Yes,4,80,0,10,3,3,9,5,0,,8
16,BU1,Male,1,Data Scientist,Research & Development,31,2013,,No,2015,2911,31,670,15170,17,3,Travel_Rarely,26,1,Life Sciences,1,1,3,3,Divorced,1,Y,No,4,80,1,5,1,2,5,2,4,2002,3
18,BU1,Male,1,Associate,Research & Development,34,2016,,No,2018,2661,93,1346,8758,11,3,Travel_Rarely,19,2,Medical,1,2,3,4,Divorced,0,Y,No,3,80,1,3,2,3,2,2,1,2008,2
19,BU1,Male,1,Associate,Research & Development,28,2014,2015,Yes,,2028,50,103,12947,14,3,Travel_Rarely,24,3,Life Sciences,1,3,2,3,Single,5,Y,Yes,2,80,0,6,4,3,4,2,0,,3
